release_timestamp_utc,event_name,region,actual,consensus,prior,revision,importance,asset_classes
2025-01-10T13:30:00+00:00,US Nonfarm Payrolls (k),US,240.0,180.0,180.0,0.0,high,"stock,forex,metal,crypto"
2025-01-15T13:30:00+00:00,US CPI m/m,US,0.3,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-01-24T03:00:00+00:00,BoJ policy balance rate decision,Asia-Pacific,0.25,0.25,0.25,0.0,high,"stock,forex,metal,crypto"
2025-01-29T19:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-01-30T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-01-30T13:30:00+00:00,US GDP q/q annualized,US,2.3,2.0,1.9,0.0,high,"stock,forex,metal,crypto"
2025-02-03T12:00:00+00:00,OPEC+ production policy meeting,EM,0.0,0.0,0.0,0.0,medium,"stock,forex,metal,crypto"
2025-02-07T13:30:00+00:00,US Nonfarm Payrolls (k),US,210.0,175.0,175.0,0.0,high,"stock,forex,metal,crypto"
2025-02-12T13:30:00+00:00,US CPI m/m,US,0.2,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-02-18T03:30:00+00:00,RBA cash rate decision,Asia-Pacific,4.1,4.1,4.1,0.0,high,"stock,forex,metal,crypto"
2025-03-06T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-03-07T13:30:00+00:00,US Nonfarm Payrolls (k),US,165.0,170.0,170.0,0.0,high,"stock,forex,metal,crypto"
2025-03-12T12:30:00+00:00,US CPI m/m,US,0.2,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-03-19T03:00:00+00:00,BoJ policy balance rate decision,Asia-Pacific,0.25,0.25,0.25,0.0,high,"stock,forex,metal,crypto"
2025-03-19T18:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-04-03T12:00:00+00:00,OPEC+ production policy meeting,EM,0.0,0.0,0.0,0.0,medium,"stock,forex,metal,crypto"
2025-04-04T12:30:00+00:00,US Nonfarm Payrolls (k),US,235.0,180.0,180.0,0.0,high,"stock,forex,metal,crypto"
2025-04-10T12:30:00+00:00,US CPI m/m,US,0.1,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-04-17T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-04-30T12:30:00+00:00,US GDP q/q annualized,US,1.7,1.9,2.3,-0.1,high,"stock,forex,metal,crypto"
2025-05-02T12:30:00+00:00,US Nonfarm Payrolls (k),US,135.0,170.0,170.0,0.0,high,"stock,forex,metal,crypto"
2025-05-07T18:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-05-15T12:30:00+00:00,US CPI m/m,US,0.3,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-05-20T03:30:00+00:00,RBA cash rate decision,Asia-Pacific,4.1,4.1,4.1,0.0,high,"stock,forex,metal,crypto"
2025-06-01T12:00:00+00:00,OPEC+ production policy meeting,EM,0.0,0.0,0.0,0.0,medium,"stock,forex,metal,crypto"
2025-06-05T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-06-06T12:30:00+00:00,US Nonfarm Payrolls (k),US,180.0,180.0,180.0,0.0,high,"stock,forex,metal,crypto"
2025-06-11T12:30:00+00:00,US CPI m/m,US,0.2,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-06-17T03:00:00+00:00,BoJ policy balance rate decision,Asia-Pacific,0.25,0.25,0.25,0.0,high,"stock,forex,metal,crypto"
2025-06-18T18:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-07-03T12:30:00+00:00,US Nonfarm Payrolls (k),US,215.0,175.0,175.0,0.0,high,"stock,forex,metal,crypto"
2025-07-11T12:30:00+00:00,US CPI m/m,US,0.1,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-07-24T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-07-30T12:30:00+00:00,US GDP q/q annualized,US,2.1,2.0,1.7,0.0,high,"stock,forex,metal,crypto"
2025-07-30T18:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-08-01T12:30:00+00:00,US Nonfarm Payrolls (k),US,150.0,170.0,170.0,0.0,high,"stock,forex,metal,crypto"
2025-08-03T12:00:00+00:00,OPEC+ production policy meeting,EM,0.0,0.0,0.0,0.0,medium,"stock,forex,metal,crypto"
2025-08-13T12:30:00+00:00,US CPI m/m,US,0.2,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-08-19T03:30:00+00:00,RBA cash rate decision,Asia-Pacific,4.1,4.1,4.1,0.0,high,"stock,forex,metal,crypto"
2025-09-05T12:30:00+00:00,US Nonfarm Payrolls (k),US,205.0,170.0,170.0,0.0,high,"stock,forex,metal,crypto"
2025-09-11T12:30:00+00:00,US CPI m/m,US,0.1,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-09-11T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-09-17T18:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-09-19T03:00:00+00:00,BoJ policy balance rate decision,Asia-Pacific,0.25,0.25,0.25,0.0,high,"stock,forex,metal,crypto"
2025-10-03T12:30:00+00:00,US Nonfarm Payrolls (k),US,125.0,165.0,165.0,0.0,high,"stock,forex,metal,crypto"
2025-10-05T12:00:00+00:00,OPEC+ production policy meeting,EM,0.0,0.0,0.0,0.0,medium,"stock,forex,metal,crypto"
2025-10-15T12:30:00+00:00,US CPI m/m,US,0.3,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-10-29T18:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-10-30T12:30:00+00:00,US GDP q/q annualized,US,2.8,2.5,2.1,0.0,high,"stock,forex,metal,crypto"
2025-10-30T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-11-07T13:30:00+00:00,US Nonfarm Payrolls (k),US,225.0,175.0,175.0,0.0,high,"stock,forex,metal,crypto"
2025-11-13T13:30:00+00:00,US CPI m/m,US,0.2,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-11-18T03:30:00+00:00,RBA cash rate decision,Asia-Pacific,4.1,4.1,4.1,0.0,high,"stock,forex,metal,crypto"
2025-12-05T13:30:00+00:00,US Nonfarm Payrolls (k),US,170.0,170.0,170.0,0.0,high,"stock,forex,metal,crypto"
2025-12-07T12:00:00+00:00,OPEC+ production policy meeting,EM,0.0,0.0,0.0,0.0,medium,"stock,forex,metal,crypto"
2025-12-10T13:30:00+00:00,US CPI m/m,US,0.1,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2025-12-10T19:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2025-12-18T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2025-12-19T03:00:00+00:00,BoJ policy balance rate decision,Asia-Pacific,0.25,0.25,0.25,0.0,high,"stock,forex,metal,crypto"
2026-01-06T12:00:00+00:00,OPEC+ production policy meeting,EM,0.0,0.0,0.0,0.0,medium,"stock,forex,metal,crypto"
2026-01-09T13:30:00+00:00,US Nonfarm Payrolls (k),US,230.0,180.0,180.0,0.0,high,"stock,forex,metal,crypto"
2026-01-15T13:30:00+00:00,US CPI m/m,US,0.3,0.2,0.2,0.0,high,"stock,forex,metal,crypto"
2026-01-20T03:30:00+00:00,RBA cash rate decision,Asia-Pacific,4.1,4.1,4.1,0.0,high,"stock,forex,metal,crypto"
2026-01-22T13:15:00+00:00,ECB deposit facility rate decision,Europe,2.25,2.25,2.25,0.0,high,"stock,forex,metal,crypto"
2026-01-28T19:00:00+00:00,FOMC target rate decision,US,4.5,4.5,4.5,0.0,high,"stock,forex,metal,crypto"
2026-01-29T13:30:00+00:00,US GDP q/q annualized,US,2.4,2.3,2.8,-0.1,high,"stock,forex,metal,crypto"
